filename,post_title,vimeo_id,youtube_id,youtube_title,youtube_url,confirmed
2015-06-02-gonjasufi-demonchild.md,Gonjasufi - Demonchild,32464167,Lpm7yq7TaUw,"GONJASUFI -  ""DEMONCHILD""",https://www.youtube.com/watch?v=Lpm7yq7TaUw,YES
2015-06-03-flying-lotus-tiny-tortures.md,Flying Lotus - Tiny Tortures,54585743,Fbi6pvFhXcE,Flying Lotus - Tiny Tortures,https://www.youtube.com/watch?v=Fbi6pvFhXcE,YES
2015-06-03-flying-lotus-until-the-quiet-comes.md,Flying Lotus - ''Until The Quiet Comes'',48551671,vF1T-AEH2GA,Flying Lotus - Until The Quiet Comes — short film by Kahlil Joseph,https://www.youtube.com/watch?v=vF1T-AEH2GA,YES
2015-06-03-king-khan-the-shrines-bite-my-tongue.md,King Khan & The Shrines - Bite My Tongue,57164413,kWdxRh07X9A,King Khan & the Shrines - Bite My Tongue (Official Music Video),https://www.youtube.com/watch?v=kWdxRh07X9A,YES
2015-06-03-systema-solar-malpalpitando.md,Systema Solar - Malpalpitando,15862504,ShYLc6pxw7M,"Systema Solar - ""Malpalpitando"" (Official Music Video)",https://www.youtube.com/watch?v=ShYLc6pxw7M,YES
2015-06-04-gazelle-twin-anti-body.md,Gazelle Twin - Anti Body,93770855,NMiPD6EqbyQ,Gazelle Twin - Anti Body (official video),https://www.youtube.com/watch?v=NMiPD6EqbyQ,YES
2015-06-04-momentum-octav-rolan.md,MOMENTUM / Octav Rolan,120344655,ZYMnYNd7baw,Octav Rolan   Momentum Official Video,https://www.youtube.com/watch?v=ZYMnYNd7baw,YES
2015-06-10-panda-bear-boys-latin.md,Panda Bear - Boys Latin,113544877,prBaZzYmQrI,Panda Bear - Boys Latin (Official Video),https://www.youtube.com/watch?v=prBaZzYmQrI,YES
2015-07-06-dj-mehdi-signatune.md,DJ Mehdi - Signatune,9357434,bOyU_OzRXnM,DJ Mehdi - Signatune (Thomas Bangalter Short Edit) [Official Video],https://www.youtube.com/watch?v=bOyU_OzRXnM,YES
2015-07-06-just-blaze-x-baauer-x-jayz-higher.md,JUST BLAZE X BAAUER x JAYZ. [HIGHER],72167302,uQ_q7Z3Cvzw,Just Blaze and Baauer - Higher ft. JAY Z (OFFICIAL VIDEO) ft. JAY Z,https://www.youtube.com/watch?v=uQ_q7Z3Cvzw,YES
2015-07-06-justice-stress.md,Justice - Stress,9518258,QWaWsgBbFsA,Justice - Stress (Official Video),https://www.youtube.com/watch?v=QWaWsgBbFsA,YES
2015-07-06-m-i-a-born-free.md,M.I.A - Born Free,11219730,,,,NO
